Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,36.200001,36.750000,36.000000,36.520000,33.842407,5273100
2019-01-03,35.340000,35.520000,34.270000,34.360001,31.840778,15998000
2019-01-04,34.459999,35.029999,34.209999,34.970001,32.406055,14178200
2019-01-07,35.009998,35.470001,34.970001,35.230000,32.646988,6850800
2019-01-08,35.110001,35.180000,34.639999,34.939999,32.378250,11462600
2019-01-09,35.330002,35.959999,35.330002,35.610001,32.999130,11770300
2019-01-10,35.459999,36.480000,35.400002,36.419998,33.749741,7894600
2019-01-11,36.450001,36.770000,36.240002,36.610001,33.925812,7232700
2019-01-14,36.130001,36.189999,35.720001,35.759998,33.138134,6146200
2019-01-15,36.040001,36.230000,35.799999,36.040001,33.397606,10165800
2019-01-16,35.900002,36.029999,35.639999,35.639999,33.026932,8727400
2019-01-17,34.919998,36.549999,34.830002,36.290001,33.629272,21916900
2019-01-18,36.240002,37.009998,36.160000,36.840000,34.138947,12905900
2019-01-22,36.500000,36.759998,36.099998,36.369999,33.703411,13381700
2019-01-23,36.529999,36.740002,36.240002,36.490002,33.814613,13918600
2019-01-24,36.880001,37.639999,36.779999,37.639999,34.880299,14094100
2019-01-25,38.000000,38.259998,37.880001,38.139999,35.343632,16763700
2019-01-28,36.919998,37.660000,36.900002,37.439999,34.694958,14086500
2019-01-29,37.290001,37.290001,36.299999,36.330002,33.666340,10100800
2019-01-30,36.810001,37.450001,36.290001,37.380001,34.639359,9281600
2019-01-31,37.310001,38.099998,37.310001,37.619999,34.861763,7633400
2019-02-01,37.750000,37.869999,37.439999,37.570000,34.815422,6438300
2019-02-04,37.500000,38.009998,37.380001,37.939999,35.158298,7283800
2019-02-05,37.919998,38.270000,37.880001,38.250000,35.445568,7314000
2019-02-06,38.419998,38.820000,38.310001,38.740002,35.899643,8795200
2019-02-07,38.369999,38.459999,37.830002,38.119999,35.325096,7916200
2019-02-08,37.709999,37.919998,37.500000,37.790001,35.019295,7147200
2019-02-11,37.919998,38.290001,37.830002,38.290001,35.482639,8860700
2019-02-12,38.639999,38.770000,38.439999,38.639999,35.806980,8831200
2019-02-13,38.369999,38.480000,38.049999,38.130001,35.334373,7155600
2019-02-14,37.919998,38.209999,37.759998,38.060001,35.269501,7782800
2019-02-15,37.910000,38.279999,37.869999,38.090000,35.297298,6257600
2019-02-19,38.220001,38.660000,38.099998,38.459999,35.640171,8105700
2019-02-20,38.930000,39.509998,38.889999,39.000000,36.140579,7178600
2019-02-21,39.070000,39.180000,38.799999,38.980000,36.122051,4607300
2019-02-22,39.119999,39.410000,39.080002,39.389999,36.501991,5117800
2019-02-25,39.869999,39.919998,39.480000,39.580002,36.678055,5101500
2019-02-26,39.410000,39.669998,39.380001,39.599998,36.696587,5587300
2019-02-27,39.509998,39.590000,39.060001,39.450001,36.557583,8194900
2019-02-28,39.119999,39.290001,39.000000,39.049999,36.186913,5705100
2019-03-01,39.360001,39.520000,39.200001,39.389999,36.501991,5299200
2019-03-04,39.330002,39.330002,38.709999,39.150002,36.279587,7081100
2019-03-05,38.950001,39.230000,38.660000,39.020000,36.159111,7192400
2019-03-06,39.060001,39.220001,38.779999,38.790001,35.945980,4433400
2019-03-07,38.770000,38.880001,38.369999,38.630001,35.797707,4231300
2019-03-08,37.950001,38.380001,37.939999,38.200001,35.399239,5066200
2019-03-11,38.230000,38.689999,38.200001,38.639999,35.806980,6005400
2019-03-12,39.049999,39.169998,38.860001,38.900002,36.047916,5580200
2019-03-13,39.220001,39.439999,39.020000,39.209999,36.335182,6086400
2019-03-14,39.000000,39.049999,38.740002,38.820000,35.973778,4935000
2019-03-15,39.410000,40.070000,39.410000,39.650002,36.742928,8871300
2019-03-18,39.860001,39.980000,39.639999,39.849998,36.928265,6290900
2019-03-19,39.980000,40.080002,39.599998,39.759998,36.844860,8033600
2019-03-20,39.770000,40.150002,39.639999,39.849998,36.928265,5394000
2019-03-21,40.250000,41.240002,40.220001,41.040001,38.031017,6509600
2019-03-22,40.840000,41.020000,40.340000,40.430000,37.465733,6759100
2019-03-25,40.000000,40.459999,39.770000,39.919998,36.993126,4901800
2019-03-26,40.110001,40.630001,40.070000,40.400002,37.437943,5573500
2019-03-27,40.189999,40.259998,39.799999,40.200001,37.252602,7660300
2019-03-28,40.240002,40.540001,40.200001,40.340000,37.382332,6632700
2019-03-29,40.820000,41.049999,40.599998,40.959999,37.956871,6116300
2019-04-01,41.080002,41.369999,40.740002,41.369999,38.336815,6834200
2019-04-02,41.180000,41.360001,41.000000,41.270000,38.244152,5580200
2019-04-03,41.599998,41.959999,41.509998,41.790001,38.726025,6821100
2019-04-04,41.730000,42.180000,41.650002,42.040001,38.957695,7610300
2019-04-05,42.340000,42.340000,42.060001,42.230000,39.133766,4430600
2019-04-08,42.240002,42.490002,42.080002,42.389999,39.282028,6830300
2019-04-09,42.240002,42.299999,42.029999,42.209999,39.115231,5049900
2019-04-10,42.259998,42.500000,42.180000,42.369999,39.263496,4040200
2019-04-11,42.090000,42.200001,41.950001,42.099998,39.013294,5172200
2019-04-12,42.470001,42.650002,42.279999,42.580002,39.458099,6555700
2019-04-15,42.580002,42.770000,42.459999,42.610001,39.485901,5274400
2019-04-16,42.830002,43.080002,42.750000,43.009998,39.856571,6639100
2019-04-17,43.900002,44.459999,43.860001,44.389999,41.135395,15795700
2019-04-18,44.060001,45.639999,44.000000,45.400002,42.071346,16569800
2019-04-22,44.790001,45.160000,44.590000,45.150002,41.839676,10872000
2019-04-23,45.150002,45.419998,45.060001,45.419998,42.089874,11437500
2019-04-24,45.080002,45.590000,44.939999,45.410000,42.080612,10776800
2019-04-25,44.930000,45.040001,44.430000,44.480000,41.218792,10149800
2019-04-26,43.650002,44.000000,43.320000,43.939999,40.718388,12745000
2019-04-29,43.849998,43.919998,43.580002,43.830002,40.616459,9272100
2019-04-30,43.400002,43.939999,43.259998,43.820000,40.607182,11863900
2019-05-01,44.290001,44.560001,43.820000,43.820000,40.607182,7319000
2019-05-02,43.860001,44.470001,43.750000,44.400002,41.144661,10717200
2019-05-03,44.930000,45.139999,44.560001,44.709999,41.431934,5479900
2019-05-06,43.320000,43.820000,43.209999,43.759998,40.551582,10756400
2019-05-07,43.830002,44.049999,43.290001,43.759998,40.551582,10225200
2019-05-08,43.520000,44.000000,43.459999,43.700001,40.495983,8112600
2019-05-09,42.919998,43.299999,42.279999,43.250000,40.078972,11229400
2019-05-10,42.860001,43.090000,42.189999,42.830002,39.689777,8313900
2019-05-13,41.369999,41.509998,40.740002,40.990002,37.984676,11046000
2019-05-14,41.590000,42.080002,41.400002,41.970001,38.892822,7107800
2019-05-15,41.549999,42.330002,41.459999,41.970001,38.892822,5347700
2019-05-16,41.630001,41.639999,41.220001,41.529999,38.485088,9214700
2019-05-17,40.389999,40.950001,40.090000,40.250000,37.298935,11271000
2019-05-20,39.250000,39.299999,38.520000,38.660000,35.825508,13979700
2019-05-21,39.150002,39.340000,38.660000,39.299999,36.418587,11806400
2019-05-22,39.200001,39.389999,38.889999,38.900002,36.047916,12217600
2019-05-23,37.980000,38.180000,37.410000,38.070000,35.278770,14708800
2019-05-24,38.419998,38.740002,38.200001,38.200001,35.399239,10540700
2019-05-28,38.130001,38.200001,37.650002,37.650002,34.889565,12484600
2019-05-29,37.459999,37.750000,37.180000,37.689999,34.926624,13043000
2019-05-30,37.950001,38.369999,37.840000,38.040001,35.250973,7351600
2019-05-31,38.270000,38.970001,38.250000,38.349998,35.538235,9302700
2019-06-03,38.959999,39.090000,38.660000,38.820000,35.973778,9618300
2019-06-04,38.639999,39.099998,38.419998,39.060001,36.196182,6985600
2019-06-05,39.240002,39.259998,38.099998,38.230000,35.427036,8219800
2019-06-06,38.180000,38.590000,37.919998,38.439999,35.621639,6234000
2019-06-07,38.740002,39.000000,38.560001,38.820000,35.973778,4456900
2019-06-10,39.490002,40.130001,39.450001,39.619999,36.715122,8351800
2019-06-11,40.470001,40.599998,39.939999,39.959999,37.030197,6100600
2019-06-12,40.000000,40.189999,39.450001,39.459999,36.566849,6163200
2019-06-13,39.619999,39.619999,39.029999,39.450001,36.557583,6646800
2019-06-14,38.630001,38.700001,37.830002,37.840000,35.065632,11281500
2019-06-17,37.919998,38.049999,37.660000,37.660000,34.898823,6500700
2019-06-18,38.270000,39.419998,38.220001,39.209999,36.335182,12303200
2019-06-19,39.939999,39.959999,39.299999,39.400002,36.511250,10217600
2019-06-20,40.450001,40.720001,40.139999,40.509998,37.539867,10400000
2019-06-21,40.520000,40.700001,40.419998,40.520000,37.549145,12766200
2019-06-24,39.560001,40.070000,39.439999,39.980000,38.253357,6571000
2019-06-25,39.520000,39.520000,38.910000,38.919998,37.239128,6790500
2019-06-26,39.380001,39.380001,38.980000,39.080002,37.392216,9133300
2019-06-27,39.580002,39.759998,39.290001,39.590000,37.880196,11375200
2019-06-28,39.730000,39.730000,39.119999,39.169998,37.478333,7040000
2019-07-01,41.540001,41.900002,41.150002,41.380001,39.592892,11046800
2019-07-02,41.189999,41.310001,40.740002,40.799999,39.037930,4445600
2019-07-03,40.349998,40.369999,40.009998,40.330002,38.588238,3125000
2019-07-05,39.869999,40.099998,39.639999,39.930000,38.205517,3149300
